critic_likes,critic_comments,movie_release_year,movie_popularity,avg_list_comments,rating_score
0,0,2005.0,1.0,1.9230769230769231,2.0
0,0,2005.0,1.0,0.4166666666666667,2.0
0,0,2005.0,1.0,0.2,3.0
0,0,2005.0,1.0,0.16666666666666666,3.0
0,0,2005.0,1.0,0.4666666666666667,4.0
0,0,2005.0,1.0,7.230769230769231,4.0
0,0,2005.0,1.0,1.0,3.0
0,0,2005.0,1.0,1.0,4.0
0,0,2004.0,3.0,1.5,4.0
0,0,2004.0,11.0,0.0,4.0
0,0,2004.0,11.0,1.5384615384615385,3.0
0,0,2004.0,11.0,0.0,1.0
0,0,2004.0,11.0,0.0,1.0
0,0,2004.0,11.0,0.0,4.0
0,0,2004.0,11.0,0.0,3.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,2.1666666666666665,3.0
0,0,2004.0,11.0,0.0,1.0
0,0,2004.0,11.0,0.0,2.0
1,0,2004.0,11.0,2.0,2.0
0,0,2004.0,11.0,0.0,4.0
0,0,2004.0,11.0,0.41935483870967744,4.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,0.03571428571428571,3.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,0.1,4.0
1,2,2004.0,11.0,1.0,1.0
0,0,2004.0,11.0,1.0,1.0
0,0,2004.0,11.0,3.0,4.0
0,0,2004.0,11.0,0.0,4.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,0.5714285714285714,3.0
0,0,2004.0,11.0,2.3333333333333335,4.0
0,0,2004.0,11.0,0.14285714285714285,2.0
0,0,2004.0,11.0,0.36363636363636365,4.0
0,0,2004.0,11.0,9.0,5.0
0,0,2004.0,11.0,5.666666666666667,2.0
0,0,2004.0,11.0,2.4,2.0
0,0,2004.0,11.0,0.0,1.0
0,0,2004.0,11.0,2.6666666666666665,3.0
0,0,2004.0,11.0,0.0,1.0
0,0,2004.0,11.0,0.0,3.0
0,0,2004.0,11.0,1.0,2.0
0,0,2004.0,11.0,2.0,4.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,0.5833333333333334,2.0
0,0,2004.0,11.0,0.058823529411764705,2.0
0,0,2004.0,11.0,11.5,2.0
0,0,2004.0,11.0,1.3333333333333333,4.0
0,0,2004.0,11.0,53.666666666666664,5.0
0,0,2004.0,11.0,3.0,3.0
0,0,2004.0,11.0,0.375,1.0
0,0,2004.0,11.0,0.0,2.0
0,0,2004.0,11.0,0.0,3.0
0,0,2004.0,11.0,0.125,1.0
0,0,2004.0,11.0,1.0,4.0
0,0,2004.0,11.0,0.0,3.0
0,0,2004.0,11.0,12.222222222222221,5.0
0,0,2004.0,11.0,0.0,3.0
0,0,2004.0,11.0,0.5,3.0
0,0,2008.0,77.0,0.0,3.0
0,0,2008.0,77.0,1.0,4.0
0,0,2008.0,77.0,0.12903225806451613,3.0
0,0,2008.0,77.0,0.0,4.0
0,0,2008.0,77.0,0.0,1.0
0,0,2008.0,77.0,0.23809523809523808,5.0
1,0,2008.0,77.0,2.625,4.0
0,0,2008.0,77.0,0.0,3.0
0,0,2008.0,77.0,0.0,1.0
0,0,2008.0,77.0,0.0,4.0
0,0,2008.0,77.0,0.0,3.0
0,0,2008.0,77.0,0.25,4.0
0,0,2008.0,77.0,0.0,3.0
0,0,2008.0,77.0,0.14772727272727273,3.0
0,0,2008.0,77.0,0.0,2.0
0,0,2008.0,77.0,0.0,3.0
0,0,2008.0,77.0,0.0,5.0
